method,swarm_size,seed,acceptance,welfare,energy_kj_per_task,fairness_gini,latency_ms
DACA,20,0,6.349206349206349,0.06433057355580739,19.91679490499142,0.15555555555555337,
DACA,20,1,7.352941176470589,0.06769891911865017,16.91926075695319,0.16111111111110932,
DACA,20,2,6.354009077155824,0.05940880427504679,17.56605781801769,0.12857142857142703,
DACA,20,3,5.7491289198606275,0.051295726945143665,21.81715163316991,0.196969696969694,
DACA,20,4,7.563025210084033,0.08123347539555029,16.34275358043884,0.17777777777777581,
DACA,50,0,19.516407599309154,0.20786345554121335,16.15529044842197,0.16212389380530903,
DACA,50,1,20.098039215686274,0.20663997367348344,14.760259235856351,0.15853658536585302,
DACA,50,2,16.61676646706587,0.16873860614696828,16.23320662681227,0.13441441441441382,
DACA,50,3,19.023569023569024,0.1746790012806985,15.766330555217715,0.1467256637168135,
DACA,50,4,18.103448275862068,0.1823321702621769,16.62534495416494,0.13904761904761842,
DACA,100,0,41.0472972972973,0.4022238375665453,14.501295379308447,0.17082304526748932,
DACA,100,1,37.24832214765101,0.3689330862689133,15.667557880954966,0.14999999999999966,
DACA,100,2,32.2962962962963,0.3210480539458842,16.203454769728705,0.15330275229357768,
DACA,100,3,39.25081433224756,0.39868269235796333,14.747250782962857,0.16410788381742702,
DACA,100,4,40.2376910016978,0.3844459828040132,14.682694698900248,0.15493670886075916,
DACA,200,0,75.92891760904685,0.7442273048583861,13.49861045654603,0.1644680851063828,
DACA,200,1,81.66089965397923,0.820093861674496,13.168636859764414,0.15296610169491506,
DACA,200,2,73.90625,0.7371312765565403,13.889898017137265,0.1663953488372091,
DACA,200,3,76.61290322580645,0.7632905124757993,13.171122994799152,0.1623684210526314,
DACA,200,4,74.5,0.7375754245232243,13.866015953462213,0.13005592841163294,
Q-learning,20,0,5.996472663139329,0.06051123851424558,21.427185074660645,0.16470588235293881,
Q-learning,20,1,6.862745098039216,0.06639236155281521,18.15842823127621,0.17619047619047412,
Q-learning,20,2,6.505295007564296,0.0601749361442733,17.141409356008023,0.14534883720930064,
Q-learning,20,3,5.7491289198606275,0.051295726945143665,21.81715163316991,0.196969696969694,
Q-learning,20,4,7.73109243697479,0.08060285863688192,15.396088081007731,0.14999999999999838,
Q-learning,50,0,17.098445595854923,0.17933103691651164,18.231443366909378,0.14848484848484775,
Q-learning,50,1,17.973856209150327,0.1828159032520394,16.809480011991337,0.15999999999999928,
Q-learning,50,2,15.119760479041917,0.15730319915019395,17.86282439982201,0.1556435643564349,
Q-learning,50,3,17.17171717171717,0.15219720209023235,17.954424429614452,0.14274509803921498,
Q-learning,50,4,17.24137931034483,0.17040824412186814,18.139144292278683,0.10999999999999946,
Q-learning,100,0,32.432432432432435,0.31449666079399796,18.48456453494825,0.17729166666666618,
Q-learning,100,1,32.38255033557047,0.32492696081408395,18.76478695399191,0.16865284974093225,
Q-learning,100,2,26.962962962962962,0.28452140361060113,19.751010510228134,0.16670329670329623,
Q-learning,100,3,34.039087947882734,0.34150185482873374,17.434807616999873,0.15497607655502355,
Q-learning,100,4,34.29541595925297,0.3351445326694996,17.7891161496074,0.12623762376237593,
